,label
65,1
118,1
314,2
1236,3
1274,2
1300,3
1705,1
1721,2
1741,1
1922,1
1970,1
2150,3
2988,1
3422,2
3703,3
3732,4
3733,2
4091,1
4229,1
4293,1
4906,3
5138,3
5158,1
5297,3
5355,3
6135,1
6164,1
6212,2
6728,2
7473,2
7751,2
8108,1
8203,1
8235,1
8274,1
8473,1
8630,2
8933,1
9500,1
9663,1
9771,1
10625,2
10738,2
10763,1
11580,1
11661,2
11673,2
11818,1
11885,1
12272,1
12730,1
13002,1
13311,1
13325,2
13612,1
13632,3
13938,1
14033,1
14040,3
14059,2
14501,3
14521,1
14544,2
15143,1
15148,2
15249,3
15442,2
16041,2
16394,1
16615,1
16621,2
16750,1
16830,1
16963,1
17081,4
17335,1
17559,1
17835,1
18067,1
18265,1
18392,1
18607,2
18778,1
19207,3
19603,2
19836,1
19916,1
20064,1
20119,2
20512,2
20574,2
20832,3
21041,2
21156,1
21202,1
21770,1
21779,1
21796,1
21837,1
22196,1
22213,4
22538,2
22584,1
22848,1
23241,1
23619,2
23647,3
23848,1
23931,4
24012,2
24523,1
24736,3
24896,1
25235,1
25239,2
25270,1
25384,1
25396,3
25505,1
25632,3
25878,3
25890,1
25893,1
26339,2
26903,1
27788,1
27825,3
27836,3
27841,3
27943,1
28146,1
28573,1
28577,1
28885,2
28893,2
29137,1
29149,1
29704,1
29751,1
30052,1
30133,1
30148,1
30154,1
30189,1
30412,1
31080,1
31274,1
31330,1
31478,1
31791,4
31937,1
32566,1
32576,2
33549,1
33932,1
34645,1
34684,1
35374,1
35536,2
35679,2
35810,2
35935,1
36163,1
36565,1
36687,2
36755,2
36963,1
37731,1
37769,1
37863,1
38373,1
38449,1
38726,1
39025,1
39142,1
39249,1
39687,1
39927,1
39969,1
40091,1
40147,1
40583,1
40806,1
40817,1
40998,1
41126,1
41653,2
41913,1
41979,1
42034,1
42271,1
42310,1
42627,2
42767,1
43188,1
43321,1
44096,1
44240,1
44283,1
44906,2
45032,1
45309,1
45362,1
45875,2
45892,1
46213,1
46378,1
46641,1
46750,1
47467,1
48614,2
48923,1
49445,1
49584,1
49697,1
49900,2
50265,1
50522,1
50700,1
50842,1
51004,1
51077,1
51767,1
52174,1
52252,2
52441,1
52541,1
52575,2
52697,1
52702,1
52748,1
52782,1
52926,1
53207,2
53496,1
53527,1
53726,1
53818,1
54257,1
54358,1
54489,1
54692,1
54934,1
55006,1
55042,1
55044,1
55245,2
55433,1
55452,1
55660,1
55731,1
55925,2
55993,1
56008,1
56088,2
56113,1
56258,1
56296,1
56421,1
56427,1
57074,1
57115,1
57544,1
58034,1
58572,1
58652,1
58747,1
59035,1
59103,1
59708,1
60230,1
60353,1
60616,1
60764,1
60796,1
61379,1
61607,2
61957,1
62696,1
63797,1
63817,2
63848,2
64105,1
64534,1
64625,1
64740,1
64779,1
65019,1
65152,1
65165,1
65574,1
65777,2
65830,1
65890,1
66044,1
66470,1
66572,1
66964,1
66983,1
67233,1
67368,1
67652,1
68082,1
68169,1
68226,1
68229,1
68277,1
68766,4
69685,1
69825,1
69869,1
70069,1
70102,1
70132,1
70308,1
70634,1
70695,1
70717,1
71283,1
71563,1
71788,1
71813,1
72663,1
73068,1
73125,1
73246,1
73282,1
74012,1
74193,2
74477,1
74753,1
74893,1
75032,2
75171,1
75421,1
75993,1
76625,1
77070,1
77755,1
77824,1
78170,1
78203,2
78359,2
78820,3
79358,2
79367,2
79700,2
79753,2
80305,2
80646,2
81098,2
81124,2
81268,1
81903,2
82059,2
82179,2
82213,4
82364,2
82665,2
82785,2
83019,2
83199,2
83263,2
83571,2
84184,2
84365,2
84454,2
84475,2
84648,2
84864,2
85029,2
85267,1
86162,2
86320,3
86386,2
86394,2
86721,2
86840,2
86961,2
86994,2
87378,3
87448,2
87512,2
87628,2
87674,2
87763,2
87770,2
88270,2
88422,2
88821,2
88892,2
89715,2
89757,2
90004,3
90373,2
90608,3
90994,2
91087,2
91141,2
91176,2
92501,2
92541,2
92841,2
93191,3
93512,2
93604,2
93683,3
94314,3
95061,2
95376,2
96020,2
96317,2
96358,2
96366,2
96941,2
97072,2
97237,2
97485,2
97575,2
97941,2
98104,2
98227,2
98712,3
99059,2
99286,2
99433,2
99751,2
100465,2
100524,2
100575,2
100759,2
100955,2
101136,2
101404,2
101640,2
101731,2
101732,2
101781,2
102044,4
102634,2
102904,2
103255,2
103324,2
103339,2
103380,2
103489,2
104060,2
104082,2
104349,2
104537,2
104709,2
105109,2
105696,2
106047,2
106237,2
106319,2
106347,2
106474,2
106762,2
107061,2
107287,2
107914,2
108481,2
108533,2
108761,2
108956,2
109073,2
109091,2
109147,2
109349,4
109815,2
110465,2
111066,2
111087,2
111575,2
112087,2
112398,2
112835,2
113211,2
113887,2
114346,2
114536,3
114587,2
114594,2
114969,2
114983,2
115013,3
115059,3
115181,2
115528,2
115725,2
116017,2
116263,2
116407,2
117550,2
118117,2
118248,2
118344,2
118471,2
118589,2
118731,2
118772,2
119233,2
119306,2
119319,2
119538,2
119735,2
119853,3
120213,1
120266,2
120761,3
120792,2
120974,2
121164,2
121315,2
121816,3
121863,2
121921,2
122785,2
122812,2
122818,2
122922,2
123161,2
123223,2
123307,2
123377,2
123680,3
123886,2
123908,2
123910,2
123993,2
123999,2
124309,2
124336,2
124340,4
124587,2
124812,2
124938,2
125081,3
125148,2
125797,2
126017,2
126091,2
126130,2
126493,2
126553,3
126620,2
126646,2
126816,2
126932,3
126959,2
126972,2
127189,2
127262,2
127648,2
127729,2
128316,4
128322,2
128376,2
128523,2
128767,2
128977,2
129431,2
129521,2
129622,2
129818,2
130127,2
130230,2
130339,3
130414,1
130429,2
130707,1
130906,2
131037,2
131141,2
131187,3
131400,2
131732,2
131796,2
131804,2
131878,2
131892,2
132612,2
132896,2
132955,2
132975,2
133363,2
133413,2
134509,3
134680,2
134828,2
135253,2
135332,2
135616,2
135683,2
135798,3
135838,2
136153,2
136880,1
137125,2
137179,4
137274,2
137331,2
137363,3
137579,3
137873,2
138521,2
138918,3
139491,2
139826,3
139861,2
140120,2
140167,2
140200,2
140259,2
140444,2
140464,4
140611,2
140658,2
140986,2
141111,2
141115,2
141333,2
141358,2
141657,2
141950,2
142015,2
142124,3
142150,2
142168,2
142211,2
142381,2
142825,2
142881,2
143087,2
143109,2
143462,3
143938,3
144092,3
144096,3
144135,2
144311,3
144569,2
144629,3
144971,3
145007,2
145362,2
145643,2
145901,2
146823,2
147212,3
147327,2
147550,2
147667,2
147742,2
148111,2
148196,2
148433,2
148585,2
148799,2
148814,2
148942,2
149105,1
149840,2
149990,2
150795,2
151783,3
151815,2
152111,3
152161,3
152455,2
152669,2
152760,2
152891,2
152895,2
153018,3
153019,2
153242,3
153574,2
153820,3
153967,2
153996,2
154025,2
154104,3
154173,2
154244,2
154569,2
154736,2
154773,3
155205,4
155306,2
155358,3
156250,2
156260,2
156563,2
156786,2
156839,2
156869,2
156945,2
157009,2
157085,2
157133,2
157365,2
157672,3
157749,2
157841,3
157890,2
157965,2
158188,2
159411,2
159649,2
159654,2
