,x,y
65,7.303466,9.704716
118,10.20376,5.1226134
314,2.8975177,-2.7015452
765,1.7721777,-1.1460683
1236,-4.732923,-7.285795
1274,4.3225636,-2.3828
1300,-2.5075777,-6.8208666
1646,15.30219,-1.9144902
1705,11.952055,4.159599
1721,3.4336343,-0.4760898
1741,12.087654,4.942533
1743,7.115353,9.911113
1922,14.129516,3.2544198
1970,14.6673,-1.8917998
2035,7.2547693,9.736777
2150,-2.0867677,-8.113456
2454,15.151293,-3.5380054
2597,15.188359,-3.1418636
2695,9.703824,5.0594206
2770,1.6537017,1.6533328
2988,11.574491,6.8110404
3422,5.012808,-1.0844545
3703,-3.4544954,-8.023045
3732,-3.853529,-7.5758595
3733,2.9209607,-1.3760887
3935,10.869542,3.681064
4091,14.283615,0.16285764
4229,14.96226,0.32349047
4293,7.8223047,7.265596
4486,14.880628,0.98627436
4906,-3.584409,-7.6575594
4919,5.2499595,-0.66249114
4969,14.902502,-2.8172143
5138,-2.4121416,-7.7040343
5158,14.332215,2.0557058
5297,-3.6090415,-7.764623
5306,14.68705,1.8630917
5355,-2.9510465,-7.833541
5524,6.631536,9.595411
6135,8.1968775,5.9162946
6164,7.873576,9.064119
6212,4.6739483,-8.991272
6237,6.5954285,7.91605
6728,2.3691485,-0.3141943
6951,14.833418,1.2902175
7399,14.407941,-0.25683123
7473,2.0974104,-8.116546
7606,13.037602,2.6720572
7751,6.871341,-2.8376644
8108,14.78694,1.4055382
8203,9.074728,3.8672175
8235,8.86331,6.0529075
8274,13.1757,3.7330437
8403,14.153859,1.9836452
8473,13.780251,1.691309
8610,14.980404,0.62107444
8630,3.288608,-2.141569
8880,4.8315964,0.007114606
8933,12.418294,3.227171
8969,8.192715,6.1662207
9228,15.142354,-4.217434
9500,7.798902,9.6638
9546,-3.0910294,-6.9764066
9663,6.557302,5.3310122
9771,13.968253,0.96982354
9940,15.159571,-4.658152
10625,3.2147663,-1.8711716
10738,5.931913,4.2654305
10763,14.238958,2.8546443
10995,6.3350263,-1.4609013
11534,4.871573,-1.9040802
11580,9.115112,4.3788724
11661,-0.25718108,-5.547216
11673,2.1826313,1.9411247
11688,11.791285,4.344367
11818,12.4180975,2.513446
11885,10.785472,5.272942
12161,15.167659,-0.9425931
12272,11.694195,3.9339404
12730,14.4613285,0.6159125
12830,1.2321011,-7.8610125
13002,15.067861,-4.294484
13311,15.186486,-0.4947479
13325,6.0335383,-9.25669
13612,11.312855,3.3235862
13632,-2.9790406,-7.726013
13938,9.02725,6.054499
14033,6.931462,8.200336
14040,-3.5871787,-8.024292
14059,5.6324096,-8.243718
14501,-3.2849333,-7.3466377
14505,5.662409,4.440068
14521,15.164941,-2.0434058
14544,4.591598,-8.890592
15143,11.511921,4.3237133
15148,5.112675,-1.3144596
15249,-2.056177,-7.1507597
15442,2.076705,-3.1114464
16041,0.59843165,-1.0329044
16394,15.109644,-4.7219386
16615,15.234633,-3.587311
16621,6.0001554,-7.8879223
16750,13.851347,1.8101368
16830,6.654095,5.5428495
16963,10.579954,4.650624
16972,-1.1712539,-8.972145
17081,0.6554369,0.08484379
17335,15.246975,-4.3087573
17408,2.9649904,-1.2351074
17526,7.78085,6.6564894
17559,11.223003,4.279409
17812,9.859199,5.5609927
17835,7.304041,9.569133
18067,5.587644,4.616894
18253,14.866818,-1.3688645
18265,7.51137,6.5852165
18376,14.694266,0.56699926
18392,6.9150167,9.603698
18607,1.8458103,-4.54442
18778,12.578398,4.1074753
19207,-3.2955832,-8.0115
19283,11.936091,2.8631663
19410,10.400078,7.6946225
19603,4.5699873,-3.3440585
19836,15.33896,-1.0180045
19916,7.245636,5.634033
20064,6.2534738,10.903325
20119,6.223573,7.4589376
20436,7.5933266,9.292044
20512,6.192877,-1.822817
20568,5.0261827,-1.3459157
20574,5.847796,4.992755
20832,-2.219021,-7.63325
21041,2.0792518,-3.2374384
21156,14.450147,1.3724825
21202,14.481738,-1.0619297
21643,14.868293,0.78663737
21770,7.413267,5.1404176
21779,14.435564,1.6106205
21796,14.61662,-0.9191251
21837,12.614199,3.2123802
22196,12.3134775,2.5805194
22213,-3.536189,-7.93126
22221,2.098826,-2.9809737
22538,-0.17235993,-5.6909328
22584,14.21565,1.704586
22734,1.6703652,-1.9704083
22848,11.505013,7.4932
23241,11.652556,3.619378
23619,0.5521317,-4.1854305
23647,-1.7550638,-6.966711
23848,10.7017355,4.497411
23888,9.457221,4.3253407
23931,0.2209039,-6.196728
24012,5.40417,-9.210862
24283,4.190707,2.7351763
24317,2.84035,-3.1543252
24523,9.250631,8.147283
24532,-3.8642187,-7.3280354
24621,-1.033304,-7.7783103
24736,-2.1135457,-6.917139
24751,15.199316,-4.2662253
24869,3.9170895,-3.6738937
24896,7.212677,7.1398516
25235,12.538102,4.119239
25239,4.3390985,-1.0488619
25270,15.234721,-2.7490916
25384,10.080502,7.11386
25396,-1.307231,-8.917886
25505,8.275882,5.32665
25632,-4.5209765,-6.700986
25697,4.942928,1.2192067
25878,-4.6075,-7.388755
25890,15.20178,-1.8452597
25893,13.930898,3.1632478
26102,3.9055715,-2.9822495
26339,0.053570807,-6.464185
26435,10.971546,4.23323
26490,2.4166365,2.8145769
26536,9.418322,8.233172
26626,9.351309,6.427184
26677,0.8015467,-4.6465545
26903,7.5974126,9.535926
27480,14.259406,0.42182064
27788,15.134896,0.31195754
27825,-3.52596,-8.054676
27836,-1.5372491,-7.2610373
27841,-2.5592694,-7.1270113
27943,6.016477,7.8003225
28146,7.757727,9.695955
28551,14.866392,-2.7598133
28573,15.028198,-2.3470438
28577,13.613111,4.3691754
28764,3.4810615,1.5864327
28885,1.8246222,-4.7622976
28893,5.59313,-3.4851952
29137,9.677723,7.570475
29149,9.681487,6.8147902
29667,6.948534,9.180747
29704,12.685714,4.033775
29723,4.7333636,1.2378268
29751,6.9917026,7.1716647
29824,14.115245,3.4817767
30052,11.796248,4.914958
30133,11.539548,5.6844482
30148,7.359615,5.848461
30154,4.7808757,3.255537
30189,14.494731,-1.1144261
30304,9.934231,6.430536
30412,9.503958,8.123148
31080,8.19517,5.124296
31091,4.629545,2.0884295
31274,6.3773437,8.106318
31286,9.793917,6.4204416
31330,8.116625,9.58036
31478,8.10969,5.0512447
31791,-0.23619643,-6.871218
31937,13.072949,5.752398
32566,14.96544,1.253527
32576,5.0088687,3.3424075
32589,6.148026,-7.156941
32799,5.318465,4.1867604
33549,12.370367,4.319951
33643,6.3903594,5.2674074
33932,7.0626774,6.5630655
34042,13.998055,0.6611221
34565,-3.0272198,-8.027311
34645,12.957079,1.9931486
34684,12.406593,2.8785365
34692,4.5600533,-7.06474
35374,6.972903,6.693962
35378,10.249375,5.310632
35536,3.1403425,-2.1029696
35563,7.3575897,4.286075
35679,3.3872724,-3.2918677
35810,5.4403543,-8.99038
35935,11.499028,5.8460197
36163,8.34084,5.8878317
36288,9.880477,4.919831
36565,7.8091183,5.848135
36687,5.5625806,-3.6405256
36755,3.5605044,-1.8263824
36963,7.6809745,7.9438443
37155,4.606689,2.1460145
37557,6.604543,9.616071
37568,9.947534,3.6198459
37731,8.97026,6.492701
37769,8.336572,7.3189416
37780,5.04856,0.8034542
37814,7.25904,8.719805
37863,13.646381,4.3538938
37904,8.273404,6.9497027
38231,6.7644515,6.2941356
38373,6.8696814,7.2229476
38449,7.654575,6.1184096
38726,7.327728,6.453324
39025,7.306629,4.5593033
39070,13.394719,4.425829
39142,10.600411,7.1247544
39249,7.706761,5.1482635
39687,7.83667,6.0159745
39927,6.4888988,8.917176
39969,6.93823,8.698676
40091,7.766016,5.9465733
40147,8.948857,6.6410685
40583,10.6097765,6.646476
40803,-4.0501795,-7.362351
40806,13.699454,2.92972
40817,14.720602,-1.3482459
40998,7.2074165,5.403093
41126,10.352637,6.537189
41653,4.250749,-4.3581567
41771,14.374113,2.84149
41772,14.346228,0.30314568
41913,13.582805,3.064453
41979,7.3434577,6.240071
42034,5.9261127,7.1171556
42151,7.243237,9.23547
42271,8.926332,7.115244
42310,15.204845,-3.6693068
42505,9.647237,5.389852
42617,10.373615,5.0850453
42627,3.1744134,0.99104494
42689,14.856797,-2.6193936
42767,7.8261104,5.375825
43188,7.1112313,7.8224874
43319,9.808652,6.58117
43321,11.46219,5.012842
43517,6.959507,9.778645
43642,7.6788864,8.419615
44096,9.535255,6.6819906
44240,14.707995,1.8766967
44283,10.076985,6.57099
44495,7.271279,9.040229
44556,8.703705,7.1937413
44906,4.8893967,-9.115445
45032,7.5253463,8.31845
45271,3.2818367,-3.5258079
45309,13.703402,3.2528646
45362,10.746884,5.4562874
45576,6.9010997,9.556197
45875,5.2126346,-3.7422261
45892,9.07025,8.460456
46196,12.771003,3.7616222
46213,14.196231,2.1549082
46378,10.653745,5.379333
46509,6.8966928,7.865294
46641,13.450737,3.2539387
46750,13.965997,1.7511338
46816,8.545891,7.9679036
47467,11.743121,5.461626
47675,6.5187645,7.584178
47756,4.202393,2.8331356
47789,6.759912,10.520635
48088,10.493746,6.046815
48614,5.623501,-9.412807
48923,6.855222,8.517074
49445,5.945347,6.3518677
49584,9.12614,6.8297668
49697,7.129528,6.8137655
49793,14.515145,0.30056646
49900,11.736397,3.1613643
50225,-2.6007679,-7.1921573
50265,6.4552894,7.9723506
50355,8.684451,6.592435
50476,5.642833,-9.68866
50522,6.7861323,7.0263634
50667,4.0544205,-3.7698
50700,8.344112,7.9546742
50842,14.679281,-1.482716
51004,6.6545343,8.006781
51077,8.49923,5.993259
51116,7.185943,6.5838866
51134,11.541656,4.5075955
51315,1.0729082,-4.202238
51378,14.989331,-4.087078
51550,11.423144,6.158415
51601,9.479965,8.329925
51767,7.432835,7.3383055
52052,4.7492127,-1.5889089
52174,10.460893,6.2358966
52252,5.6586046,-9.35162
52441,7.508217,7.4489646
52541,9.308207,6.920882
52575,4.1379037,2.7615616
52697,14.689551,1.983467
52702,9.238485,7.6285267
52748,15.506586,-1.4052298
52782,15.287264,-0.7251201
52926,8.099853,7.015182
53207,5.2465763,-0.94552624
53496,6.822406,7.3458185
53517,10.831626,6.176168
53527,10.079789,4.835333
53726,14.240611,-0.043275572
53818,10.087274,7.873309
53832,7.84035,4.6739635
54202,10.200224,3.6886673
54257,7.7139792,6.8876653
54358,10.018034,5.5981207
54489,11.675947,6.401965
54692,8.413808,6.741712
54709,6.7706985,10.034323
54934,7.519261,8.536301
54977,9.915824,5.918096
55006,14.527142,2.1660924
55042,8.191315,7.945817
55044,4.8941445,4.020662
55245,0.9183039,-6.000531
55433,13.551479,3.5259247
55452,7.169895,8.649344
55527,5.0371203,-8.517099
55660,8.144016,8.860391
55731,8.605857,8.51287
55925,9.015714,4.2702193
55993,15.084555,-4.264431
56008,8.326692,6.6788073
56088,5.3386083,-4.402318
56113,8.812695,8.300029
56210,15.095738,0.021875307
56258,6.4001765,6.6607876
56296,8.769704,6.542799
56421,8.488538,6.456495
56427,8.607471,7.276227
57074,8.794275,5.820621
57115,6.7074223,7.9434357
57117,6.430221,6.5959816
57400,6.138452,-1.9378774
57428,9.4806185,8.429027
57544,8.313947,6.394705
57913,2.3244593,-3.2502525
58034,10.272389,6.345693
58572,8.246873,8.659846
58652,11.109251,4.9095516
58747,12.027544,4.6004705
58794,5.6011457,-9.343169
58958,1.7572681,-6.0130205
59035,11.856395,6.695773
59103,14.452088,2.2694
59446,13.930857,3.245756
59708,14.540015,1.7476325
60230,11.634043,6.4067245
60271,14.026669,2.041113
60353,14.924398,-0.6877762
60566,15.418453,-2.994885
60616,9.059773,6.655024
60764,6.918189,10.093504
60780,14.617328,-1.6704257
60796,9.567035,4.542509
61379,15.167356,-3.0905838
61521,10.780556,3.9759865
61607,-0.24902663,-5.5327377
61638,10.639044,6.4157453
61719,8.739855,4.833029
61919,15.093153,-0.21146102
61957,6.8630276,10.241611
61994,10.760522,4.504299
62302,9.214967,7.663922
62378,10.153798,4.809283
